index,datetime,city,state,country,latitude,longitude ,mintemp,maxtemp,avgtemp,totalsnow,sunhour
2692,10/15/2013 20:35,reseda,ca,us,34.2011111,-118.5355556,10.35,20.3,15.0,0.0,10.47
2693,10/15/2013 21:45,blaine,wa,us,48.9938889,-122.7458333,10.35,20.3,15.0,0.0,10.47
2694,10/15/2013 22:00,albuquerque,nm,us,35.0844444,-106.6505556,10.35,20.3,15.0,0.0,10.47
2695,10/15/2013 22:30,sacramento,ca,us,38.5816667,-121.4933333,10.35,20.3,15.0,0.0,10.47
2696,10/15/2013 23:00,catoosa,ok,us,36.1888889,-95.7455556,10.35,20.3,15.0,0.0,10.47
2697,10/15/2013 23:30,reedsville,wv,us,39.5105556,-79.7986111,10.35,20.3,15.0,0.0,10.47
2698,10/16/2009 00:00,kissimmee,fl,us,28.2916667,-81.4077778,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2699,10/16/2009 01:00,los angeles,ca,us,34.0522222,-118.2427778,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2700,10/16/2009 03:32,coral springs,fl,us,26.2708333,-80.2708333,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2701,10/16/2009 05:19,tulsa,ok,us,36.1538889,-95.9925,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2702,10/16/2009 07:02,pomona,ca,us,34.0552778,-117.7513889,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2703,10/16/2009 13:00,garden grove,ca,us,33.7738889,-117.9405556,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2704,10/16/2009 15:50,san jose,ca,us,37.3394444,-121.8938889,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2705,10/16/2009 20:00,laporte,in,us,41.6105556,-86.7225,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2706,10/16/2009 20:00,rowlett,tx,us,32.9027778,-96.5636111,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2707,10/16/2009 21:00,casa grande (near),az,us,32.8794444,-111.7566667,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2708,10/16/2009 22:00,sugar land,tx,us,29.6194444,-95.6347222,13.933333333333334,23.0,18.133333333333333,0.0,10.513333333333332
2709,10/16/2010 00:30,arcadia,ca,us,34.1397222,-118.0344444,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2710,10/16/2010 01:00,yakima,wa,us,46.6022222,-120.5047222,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2711,10/16/2010 01:55,gibson,ga,us,33.2333333,-82.5955556,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2712,10/16/2010 15:00,cullman,al,us,34.1747222,-86.8436111,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2713,10/16/2010 16:36,troutville,va,us,37.4180556,-79.875,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2714,10/16/2010 18:00,greeley,co,us,40.4233333,-104.7086111,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2715,10/16/2010 18:00,salem,or,us,44.9430556,-123.0338889,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2716,10/16/2010 18:00,troutville,va,us,37.4180556,-79.875,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2717,10/16/2010 21:38,port saint lucie,fl,us,27.2936111,-80.3505556,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2718,10/16/2010 22:00,columbus,oh,us,39.9611111,-82.9988889,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2719,10/16/2010 22:00,meredith,nh,us,43.6575,-71.5008333,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2720,10/16/2010 22:30,pittsburgh,pa,us,40.4405556,-79.9961111,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2721,10/16/2010 22:45,rochester,mn,us,44.0216667,-92.4697222,7.285714285714286,18.357142857142858,12.071428571428571,0.0,11.085714285714285
2722,10/16/2011 06:30,orlando,fl,us,28.5380556,-81.3794444,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2723,10/16/2011 08:07,surfside beach,sc,us,33.6058333,-78.9733333,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2724,10/16/2011 11:40,gainesville,ga,us,34.2977778,-83.8241667,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2725,10/16/2011 18:08,rosamond,ca,us,34.8641667,-118.1625,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2726,10/16/2011 19:00,saugus,ma,us,42.4647222,-71.0105556,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2727,10/16/2011 19:30,omaha,ne,us,41.2586111,-95.9375,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2728,10/16/2011 19:45,matteson,il,us,41.5038889,-87.7130556,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2729,10/16/2011 20:30,fort wayne,in,us,41.1305556,-85.1288889,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2730,10/16/2011 20:45,slidell,la,us,30.275,-89.7811111,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2731,10/16/2011 21:00,cedar city,ut,us,37.6775,-113.0611111,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2732,10/16/2011 21:30,athens,ga,us,33.9608333,-83.3780556,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2733,10/16/2011 21:45,palmer lake,co,us,39.1222222,-104.9166667,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2734,10/16/2011 22:00,clinton,ms,us,32.3413889,-90.3216667,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2735,10/16/2011 22:00,greensboro,nc,us,36.0725,-79.7922222,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2736,10/16/2011 22:30,springdale,ar,us,36.1866667,-94.1286111,12.117647058823529,23.058823529411764,17.0,0.0,10.894117647058822
2737,10/16/2012 01:00,rochester,ny,us,43.1547222,-77.6158333,8.7,18.55,13.0,0.0,10.955
2738,10/16/2012 02:00,cedar rapids,ia,us,42.0083333,-91.6438889,8.7,18.55,13.0,0.0,10.955
2739,10/16/2012 03:00,englewood,fl,us,26.9616667,-82.3527778,8.7,18.55,13.0,0.0,10.955
2740,10/16/2012 05:35,gunnison,co,us,38.5458333,-106.9247222,8.7,18.55,13.0,0.0,10.955
2741,10/16/2012 10:00,piney flats,tn,us,36.4194444,-82.3041667,8.7,18.55,13.0,0.0,10.955
2742,10/16/2012 11:30,johnson city,tn,us,36.3133333,-82.3536111,8.7,18.55,13.0,0.0,10.955
2743,10/16/2012 11:45,johnson city,tn,us,36.3133333,-82.3536111,8.7,18.55,13.0,0.0,10.955
2744,10/16/2012 12:10,johnson city,tn,us,36.3133333,-82.3536111,8.7,18.55,13.0,0.0,10.955
2745,10/16/2012 14:34,st. paul,va,us,36.9052778,-82.3111111,8.7,18.55,13.0,0.0,10.955
2746,10/16/2012 15:00,williamson,wv,us,37.6741667,-82.2775,8.7,18.55,13.0,0.0,10.955
2747,10/16/2012 15:30,burlington,ia,us,40.8075,-91.1127778,8.7,18.55,13.0,0.0,10.955
2748,10/16/2012 16:30,belfry,ky,us,37.6202778,-82.2691667,8.7,18.55,13.0,0.0,10.955
2749,10/16/2012 18:20,tolland,ct,us,41.8713889,-72.3691667,8.7,18.55,13.0,0.0,10.955
2750,10/16/2012 19:00,boston,ma,us,42.3583333,-71.0602778,8.7,18.55,13.0,0.0,10.955
2751,10/16/2012 20:00,myerstown,pa,us,40.3744444,-76.3030556,8.7,18.55,13.0,0.0,10.955
2752,10/16/2012 20:10,desert hot springs,ca,us,33.9611111,-116.5008333,8.7,18.55,13.0,0.0,10.955
2753,10/16/2012 20:30,orlando,fl,us,28.5380556,-81.3794444,8.7,18.55,13.0,0.0,10.955
2754,10/16/2012 20:40,wrightsville beach,nc,us,34.2083333,-77.7966667,8.7,18.55,13.0,0.0,10.955
2755,10/16/2012 21:00,lyndonville,vt,us,44.5336111,-72.0036111,8.7,18.55,13.0,0.0,10.955
2756,10/16/2012 22:00,wooster,oh,us,40.805,-81.9352778,8.7,18.55,13.0,0.0,10.955
2757,10/16/2012 22:15,atlanta,ga,us,33.7488889,-84.3880556,8.7,18.55,13.0,0.0,10.955
2758,10/16/2012 22:30,olympia,wa,us,47.0380556,-122.8994444,8.7,18.55,13.0,0.0,10.955
2759,10/16/2013 00:15,bath,pa,us,40.7255556,-75.3944444,8.866666666666667,17.866666666666667,13.4,0.0,9.786666666666667
2760,10/16/2013 08:40,spencer,in,us,39.2866667,-86.7625,8.866666666666667,17.866666666666667,13.4,0.0,9.786666666666667
2761,10/16/2013 18:50,carlisle,pa,us,40.2013889,-77.1891667,8.866666666666667,17.866666666666667,13.4,0.0,9.786666666666667
2762,10/16/2013 19:05,oakdale,mn,us,44.9630556,-92.9647222,8.866666666666667,17.866666666666667,13.4,0.0,9.786666666666667
2763,10/16/2013 19:15,new bedford,ma,us,41.6361111,-70.9347222,8.866666666666667,17.866666666666667,13.4,0.0,9.786666666666667
2764,10/16/2013 19:30,queen creek,az,us,33.2486111,-111.6336111,8.866666666666667,17.866666666666667,13.4,0.0,9.786666666666667
